	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0011703	0.005897197012423196	4.274760854327063e-05	MYPN;MDH2;NF1;SDHAF2;PEX5;RET;RET;SDHA;SDHB;SDHB;SDHC;SDHD;SDHD	Sinus Tachycardia	13	26	3.758968549387711	3.45839552238806	2.229354363153339
HP:0011979	0.006717912530858122	4.944599387048467e-05	MDH2;NF1;SDHAF2;RET;RET;RET;SDHA;SDHB;SDHB;SDHC;SDHD;SDHD	Elevated Urinary Dopamine	12	23	3.3252414090737443	3.608760545100584	2.1727656550958665
HP:0000998	0.007219925208160527	5.394613459872369e-05	MTFMT;BLM;COX15;PET100;NDUFAF2;TACO1;NDUFA2;NDUFA9;NDUFB8;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFV1;NDUFS4;NDUFS8;NDUFV2;PDHA1;NDUFAF5;PPARG;NDUFS7;RNF125;SRD5A3;SRD5A3;ALG9;SDHA;FOXRED1;VPS37A;SMARCD1;NDUFA12;NDUFA12;SURF1;SURF1;ABCA5	Hypertrichosis	34	112	16.192479905054757	2.0997401385927503	2.141467301301748
HP:0001325	0.007185320924135725	5.448888400147533e-05	AKT2;ETFA;ETFB;ETFDH;TXNRD2;HADH;KCNJ11;MC2R;MRAP;NNT;NNT	Hypoglycemic Coma	11	20	2.891514268759778	3.8042350746268654	2.143553829830565
HP:0004390	0.007247401921509797	5.576789702065083e-05	PIK3CA;PIK3CA;PTEN;PTEN;PTEN;PTEN;SDHB;SDHC;SDHD;STK11	Hamartomatous Polyposis	10	17	2.457787128445811	4.068700614574188	2.139817653204466
HP:0001069	0.007364052713230664	5.74867502984439e-05	KCNJ11;MDH2;NF1;RETREG1;RETREG1;SDHAF2;RET;RET;SDHA;SDHB;SDHB;SDHC;SDHD;SDHD	Episodic Hyperhidrosis	14	30	4.337271403139667	3.227835820895522	2.132883111397889
HP:0001266	0.00972763663499684	7.702266098859994e-05	MRPS34;SUCLG1;AP1S2;PIGQ;MED23;PNKD;SH2B1;COX20;DDC;DLAT;SEPSECS;GON7;NADK2;NADK2;GCDH;HSD17B10;HSD17B10;GUF1;HSPD1;KCNA1;KCNA1;MMUT;MMUT;NDUFA9;PDHA1;NDUFAF5;PTS;PTS;PANK2;ARX;ARX;OPA3;SLC16A2;SPR;TSEN2;XPA	Choreoathetosis	36	123	17.782812752872633	2.024426647251547	2.011992660353733
HP:0001259	0.010171358397702704	8.167032504010201e-05	ACADM;ACADM;ATP7B;BCKDHA;BCKDHB;KYNU;KYNU;CDKN2B;CPT1A;CPT1A;CPT2;CPT2;DBT;HADHA;HADHB;HMBS;IVD;KCNJ11;MC2R;MMUT;MMUT;MMUT;NDUFS4;PCCA;PCCB;NAXE;MCCC2;MMAB;YY1;MCCC1	Coma	30	96	13.879268490046933	2.1614972014925375	1.9926210426297788
HP:0002913	0.010436923404798055	8.49665895561791e-05	CACNA1S;CPT2;CPT2;CPT2;CPT2;HADHA;HADHB;HADH;HADH;PHKB;ISCU;ANO5	Myoglobinuria	12	24	3.469817122511733	3.45839552238806	1.981427503750877
HP:0000602	0.010426047009463323	8.60407581911772e-05	MTFMT;SUCLA2;CA4;CHRNA1;CHRNB1;CHRND;COX15;EARS2;PET100;NDUFAF2;TACO1;ATP5MK;IDH3A;IDH3B;NDUFA2;NDUFA9;NDUFB8;NDUFS1;NDUFS1;NDUFS2;NDUFS2;NDUFS3;NDUFV1;NDUFV1;NDUFS4;NDUFS8;NDUFV2;NF2;OPA1;OPA1;PCYT1A;PDGFB;PDHA1;PIK3CA;NDUFAF5;NDUFS7;RP9;RP1;RPGR;DHDDS;SCN4A;SCN4A;SDHA;SDHA;FOXRED1;NAXD;SPATA7;NDUFA12;PMPCA;KLHL7;SURF1;SURF1;TERT;LMOD3;LMOD3;TULP1;TWNK;TWNK;TWNK	Ophthalmoplegia	59	236	34.11986837136538	1.72919776119403	1.981880321236691
