	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
HP:0000817	0.00016052111457344115	6.265461146504339e-07	RAB11B;COX10;NDUFA13;NDUFAF1;TIMMDC1;ARFGEF2;GFM2;SPATA5;MICOS13;NDUFA11;GFM1;MEF2C;NDUFAF4;NDUFAF4;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFC2;NDUFS2;NDUFS3;NDUFV1;NDUFS8;NDUFV2;OPHN1;NDUFB11;NDUFAF5;NDUFS7;NHLRC2;ALG13;ALG13;FOXRED1;TARS2;NUBPL;SYT1;TWNK	Poor Eye Contact	37	103	14.802395209580839	2.4995954692556634	3.7944678334173
HP:0000639	0.00016637856820835744	6.679634722316123e-07	MKKS;ACO2;ACOX1;ACOX1;ADAR;ADAR;PLA2G6;PLA2G6;OGT;ANK1;PEX3;PEX3;PEX3;PEX3;GBA2;GBA2;GBA2;MTFMT;MTFMT;ASAH1;MRPS34;STX16;ATP2B3;ATP5F1A;ATP6V1E1;KIF1A;BBS4;UROC1;TNFRSF11A;TNFRSF11A;PEX11B;PEX11B;PEX11B;PEX11B;DPM1;DPM1;FCSK;BRCA1;SLC5A6;CAPN1;RAB11B;ERCC8;ERCC8;ERCC8;ERCC8;PLAA;PLAA;CLCN6;CLCN7;HS6ST1;CLTC;MPDU1;COX10;PARS2;CRYBB2;TKFC;CTBP1;CTBP1;PRPF31;PUS3;DDB1;FBXL4;TINF2;DGUOK;DLAT;EXOSC3;ABCC9;ECHS1;ECHS1;NDUFA13;NDUFAF1;TACO1;GLRX5;GLRX5;ERCC6;ERCC6;ERCC6;ERCC6;ERCC6;STUB1;SIGMAR1;TCIRG1;TCIRG1;TCIRG1;TIMMDC1;TIMMDC1;FGFR1;FGFR1;PIBF1;LIPT1;EBP;SPATA5;NADK2;NADK2;CPLX1;CPLX1;GJB1;GJB1;SRPX2;AFG3L2;GNAS;GNAS;GNAS;GNAS;GNAS;GNAS;RTN4IP1;GRIN2D;HSD17B10;HSD17B10;MICOS13;GTF2H5;HSPD1;IDH3B;NDUFA11;NDUFA11;GFM1;TMEM240;TMEM240;IBA57;KCNJ13;KCNJ13;AFF3;LAMB2;LIG4;RP1L1;SLC6A19;MOCS2;NDUFAF4;NDUFAF4;MVK;NDUFA1;NDUFA1;NDUFA2;NDUFA4;NDUFA6;NDUFA9;NDUFA10;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS2;NDUFS2;NDUFS2;NDUFS3;NDUFS3;NDUFV1;NDUFV1;NDUFS8;NDUFS8;NDUFS8;NDUFV2;NDUFV2;NDUFV2;NEU1;NEU1;NEU1;NEU1;TONSL;OCRL;OPHN1;PRDX1;CHMP1A;PDHA1;PEX6;PEX6;PEX6;PEX6;PEX6;PEX12;PEX12;PEX12;PHYH;PHYH;GMPPB;GMPPB;GMPPB;NDUFB11;NDUFB11;EXOSC9;NDUFAF5;NDUFAF5;NDUFAF5;CCDC28B;PPP1CB;MAP2K1;MAP2K1;MAP2K2;MAP2K2;PRNP;NDUFS7;NDUFS7;AHI1;AHI1;AHI1;AHI1;BCAS3;PIGG;CEP120;CEP120;CEP120;EMC10;TCTN1;PTCD3;NARS2;PANK4;RPGR;RPGR;ALG13;FDX2;SDHA;SDHA;SDHA;SDHB;SDHD;FOXRED1;FOXRED1;CEP290;CEP290;CEP290;CEP290;OPA3;OPA3;CNKSR2;NUBPL;NUBPL;SLC1A2;IARS2;RPIA;SLC16A2;TRIM32;OGDHL;SMPD1;SNRNP200;SPG7;SPG7;KIZ;SREBF1;NDUFA12;PMPCA;KLHL7;SURF1;SURF1;SYT1;SYT1;TAF1;TAT;SLC19A3;SLC19A3;EXOSC2;TSPAN7;PLD3;TUFM;UCHL1;DNAJC12;PORCN;TWNK;TWNK;TWNK;TWNK;YWHAG;PRPF6	Nystagmus	263	1284	184.52694610778443	1.4252660955347871	3.778902617398064
HP:0003236	0.00022617581842855673	9.332558583535853e-07	ACADM;ACADVL;ACADVL;AGL;AHCY;PLA2G6;ATP5F1D;SUCLA2;SUCLA2;DPM1;DPM1;NFS1;AIFM1;CHKB;MPDU1;BAG3;BAG3;CPT1A;CPT2;CPT2;CPT2;CPT2;CPT2;CRYAB;CRYAB;CRYAB;COX20;MATR3;DGUOK;C19orf12;DMD;DMD;DMD;DMD;DMD;DMD;GNE;DNAJB6;ABCC9;TSFM;EMD;EMD;FHL2;MIEF2;DNAJC30;TXNRD2;RBCK1;FRG1;FRG1;ANKRD1;B4GAT1;HADHA;HADHB;POLG2;POLG2;HINT1;HINT1;HNRNPA2B1;HNRNPA2B1;LDHA;MVK;OCRL;DPM3;PHKA2;GMPPB;GMPPB;GMPPB;GMPPB;GMPPB;GMPPB;GMPPB;GMPPB;PLN;TIMM22;PSEN2;NARS2;QRSL1;FDX2;SCN4A;SCN4A;SCN5A;SDHA;TRIM32;TRIM32;STIM1;STIM1;SUOX;VMA21;TK2;TK2;TK2;ISCU;SLC39A14;TPM1;AMACR;UQCRFS1;TWNK;TWNK;CHCHD10;CHCHD10;CHCHD10;ISCA1	Elevated Circulating Creatine Kinase Concentration	102	408	58.634730538922156	1.7395833333333333	3.64555382949203
HP:0006737	0.0003271779285570156	1.4229886487926408e-06	DLST;FH;MDH2;RET;RET;SDHA;SDHB;SDHB;SDHB;SDHC;SDHC;SDHD;SDHD;SDHD	Extraadrenal Pheochromocytoma	14	23	3.305389221556886	4.2355072463768115	3.4852160015447486
HP:0000740	0.00033578787404535816	1.4229886487926408e-06	DLST;FH;MDH2;RET;RET;SDHA;SDHB;SDHB;SDHB;SDHC;SDHC;SDHD;SDHD;SDHD	Episodic Paroxysmal Anxiety	14	23	3.305389221556886	4.2355072463768115	3.473934991135059
HP:0002013	0.00035778195771947707	1.5959940123540853e-06	ACADM;ACADM;ACADVL;ACAT1;ACAT1;ACP2;ALPL;DGAT1;AVPR2;BCKDHA;SUCLG1;BTD;ACSF3;ACSF3;AIP;CLCNKA;COL4A6;CPT2;CPT2;DGUOK;DLD;MRPS7;NDUFAF1;AASS;SAR1B;SAR1B;ETFA;ETFB;ETFDH;TIMMDC1;FBP1;FGFR1;FGFR1;OPLAH;TXNRD2;COA8;GFM2;SLC37A4;GALE;HADH;HLCS;NDUFA11;IVD;KCNJ1;KCNJ11;BOLA3;LIG3;MEN1;MEN1;MET;MPI;MPI;NDUFAF4;MTTP;MVK;MVK;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS3;NDUFV1;NDUFV1;NDUFS8;NDUFV2;OTC;ENPP1;PHKA2;NDUFB11;NDUFAF5;NDUFS7;RET;FOXRED1;SIX3;SIX3;SIX3;SIX3;NUBPL;SLC6A8;NAXD;SMPD1;MCCC2;SYT1;TCN2;SLC19A3;MLYCD;ASXL3;MMAB;NNT;SLC2A9;MCCC1	Vomiting	93	367	52.74251497005988	1.763283378746594	3.4463815638816633
HP:0007704	0.0004334799172671761	1.9820092124405285e-06	NDUFAF1;TIMMDC1;NDUFA11;NDUFAF4;NDUFA1;NDUFA6;NDUFB3;NDUFB9;NDUFB10;NDUFS2;NDUFS3;NDUFV1;NDUFS8;NDUFV2;NDUFB11;NDUFAF5;NDUFS7;FOXRED1;NUBPL	Paroxysmal Involuntary Eye Movements	19	39	5.604790419161676	3.389957264957265	3.363031018192571
HP:0011924	0.0004443199973600784	2.0811241094148873e-06	SUCLG1;SUCLG1;NFS1;TXN2;TXN2;TSFM;MIEF2;GFM1;TIMM22;QRSL1;TK2;ISCU	Decreased Activity Of Mitochondrial Complex Iii	12	18	2.586826347305389	4.638888888888889	3.352304140174173
HP:0003201	0.0005401397462598098	2.5901649480508335e-06	ATP5F1D;SUCLG1;BCS1L;CACNA1S;CACNA1S;CPT2;CPT2;CPT2;TSFM;HADHA;HADHA;HADHB;HADHB;LDHA;FDX2;ISCU;AMACR	Rhabdomyolysis	17	33	4.74251497005988	3.5845959595959593	3.26749386392192
HP:0001069	0.000576536148976655	2.828994151329633e-06	KIF1A;DLST;FH;KCNJ11;MDH2;RETREG1;RETREG1;RET;RET;SDHA;SDHB;SDHB;SDHC;SDHD;SDHD;WNK1	Episodic Hyperhidrosis	16	30	4.311377245508982	3.711111111111111	3.239173457130944
