	fdr_q_value	p_value	genes	description	observed	total	expected	enrichment	log_q
GO:0003735	5.481006227309876e-25	1.2161096577124198e-28	MRPS12;MRPS14;MRPL33;MRPS22;MRPS11;MRPS15;MRPS34;MRPL28;MRPL51;MRPL55;MRPL10;MRPL52;MRPL41;MRPS31;MRPL24;MRPS24;MRPL34;MRPL57;MRPL32;MRPL13;MRPL1;MRPL37;MRPS30;MRPS18A;MRPL35;MRPL36;MRPL27;MRPS33;MRPS17;MRPS7;MRPS2;MRPL11;MRPS16;MRPS18C;MRPS23;MRPS18B;MRPL42;MRPL20;MRPS35;MRPL21;MRPL4;MRPL19;MRPL22;MRPS25;MRPL16;MRPL2;MRPL15;RPS27L;MRPL47;DAP3;MRPL3;MRPL44;MRPL12;MRPS5;MRPL49;MRPL23;MRPL17;MRPL46;MRPL54;MRPS9	Structural Constituent Of Ribosome	60	156	11.015630196208845	5.446805941311436	24.26113970449872
GO:0019843	0.0015844775130045116	7.031184881315782e-07	ERAL1;FASTKD5;MRPS27;PTCD3;MRPL20;DDX28;IMP3;FASTKD2;MRPS17;EMG1;MRPL16;MRPS7;RPF2	Rrna Binding	13	36	2.542068506817426	5.113945578231293	2.800113919962071
GO:0004176	0.0014357873503530695	9.557049148123383e-07	CLPX;LONP1;LONP2;SPG7;AFG3L2;CLPP	Atp-dependent Peptidase Activity	6	7	0.4942910985478328	12.138596097779772	2.842909877229455
GO:0016491	0.003196408201232493	2.836838873958281e-06	F8;CYP1A2;NQO2;GSTO1;HSDL2;DHRSX;DPH3;HTATIP2;ADI1;SLC27A5;MMACHC;HSD11B1;RETSAT;POR;XDH;HSD17B2;BDH2;MSMO1;CBR1;CYB561A3;SC5D;CRYL1;SRD5A1	Oxidoreductase Activity	23	109	7.696818534530539	2.988247663214898	2.4953377637064675
GO:0009055	0.03849766692304624	4.2708749637282274e-05	DHRS3;CYP1A2;AKR1B1;NQO2;POR;AKR1C4;GPX2;SRD5A1;HAAO;ME1	Electron Transfer Activity	10	31	2.1890034364261166	4.56828885400314	1.4145655892745916
GO:0042803	0.045081185372825794	6.0014890667174344e-05	PGRMC1;PEX7;DNPH1;PEX11A;IDH1;VAPB;LPL;SNRPC;GHR;CEACAM1;ST6GAL1;NQO2;SDS;S100A1;PON1;DPP4;ABCD3;HSD11B1;IMPA1;GCH1;ATIC;SHMT1;CBS;HNF4A;XDH;GSS;TIMM10;PSPH;GSTM4;PTH1R;SSBP1;CAMK2D;ENDOG;GALE;ACOX1;OXA1L;PON3;BAK1;AMHR2;TPD52L1;RABL3;DARS2;MIGA2;SLC51A;KLHL7;TMEM192;SUPV3L1;GPD1L;CISD2;COMMD1;PANK1;GALM;NUDT16;SNF8;SCLY;ACOX2;MAP3K5;MGLL;VPS25;NUDT16L1;TARS2;DPY30;UBA5;PPCS;CLTRN;MLXIPL;TENM2;UPB1;MLX;NPC1L1;TPCN1;CRYL1;YARS2;MMACHC	Protein Homodimerization Activity	74	646	45.61600709455714	1.622237558991208	1.3460046730582946
