Genes	MitoPathways_Hierarchy
 TIMM44	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Import_motor
OXA1L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_OXA
IMMP1L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 IMMP2L	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 MIPEP	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 PMPCA	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 PMPCB	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 UQCRC1	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 UQCRC2	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
 XPNPEP3	Protein_import,_sorting_and_homeostasis_Protein_import_and_sorting_Preprotein_cleavage
AFG1L	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 AFG3L2	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 ATAD1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 ATP23	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CASP3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CASP8	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CASP9	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CLPB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CLPP	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 CLPX	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 DNAJA3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 DNAJC4	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 DNLZ	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 FKBP10	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 HSPD1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 HSPE1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 HTRA2	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 IDE	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 IMMP1L	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 IMMP2L	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 LACTB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 LAP3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 LONP1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 MAIP1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 METAP1D	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 MIPEP	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 MUL1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 NLN	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 NRDC	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 OMA1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 PARK7	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 PARL	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 PDF	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 PHB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 PHB2	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 PITRM1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 PMPCA	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 PMPCB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 PRSS35	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 SPG7	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 STOML2	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 TIMM10	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 TIMM10B	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 TIMM13	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 TIMM8A	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 TIMM8B	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 TIMM9	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 TRAP1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 USP30	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 XPNPEP3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
 YME1L1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis
AFG1L	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 AFG3L2	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 ATAD1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 ATP23	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 CASP3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 CASP9	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 CLPB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 CLPP	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 CLPX	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 HTRA2	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 IDE	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 IMMP1L	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 IMMP2L	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 LACTB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 LAP3	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 LONP1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 METAP1D	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 MIPEP	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 NLN	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 OMA1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 PARL	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 PITRM1	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 PMPCA	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 PMPCB	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 SPG7	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
 USP30	Protein_import,_sorting_and_homeostasis_Protein_homeostasis_Proteases
